Job Title,Job Title Generic Description,Request Name,Request Name Description,Department,# of Volunteers,Gender Preference,Skills/Keywords,Add'l Skills,Languages
Sales Manager/ Executive,"Oversee and drive sales activities to meet organizational goals. Responsibilities include identifying prospects, managing customer relationships, negotiating deals, and ensuring target achievements. Requires strong communication, negotiation skills, and the ability to analyze market trends. Experience in sales strategies and team collaboration is essential.",Isha Goushala - Sales Manager/ Executive - 2884,"Oversee daily business operations

develop and implement operational policies and procedures

Manage inventory , logistic, supply chain",Isha Goushala,1,Male,IT / Data Analyst Corporate / Executive - Others Corporate / Operations Executive Corporate / Operations Manager,,English (UK) Tamil
Sanskrit Teacher,"Teach and promote the study of Sanskrit, including grammar, literature, and cultural context. Responsibilities include preparing lesson plans, conducting classes, and fostering an understanding of the language's significance. Requires expertise in Sanskrit, excellent communication skills, and a passion for teaching and preserving cultural heritage.",Middle School - Sanskrit Teacher - 2598,"* Teach students the fundamentals of Sanskrit language, including pronunciation, grammar, vocabulary, and script.
* Introduce students to the Devanagari script and its application in reading and writing Sanskrit texts.
* Foster an understanding of the cultural and historical significance of Sanskrit language and literature within Indian civilization and world culture.
* Organize the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organize and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,1,Any,Education / Sanskrit Teacher,,English (UK) Sanskrit
Science Teacher,"Teach science subjects, including biology, chemistry, and physics, to students at various educational levels. Responsibilities include preparing lesson plans, conducting experiments, and assessing student progress. Requires strong knowledge of scientific concepts, effective communication skills, and a passion for inspiring students to explore and understand the world of science.",Senior School - IHS - Science Teacher -  2608,,Isha Home School / Senior School - IHS,2,Any,,,
Science Teacher,"Teach science subjects, including biology, chemistry, and physics, to students at various educational levels. Responsibilities include preparing lesson plans, conducting experiments, and assessing student progress. Requires strong knowledge of scientific concepts, effective communication skills, and a passion for inspiring students to explore and understand the world of science.",Senior School - IHS - Science Teacher -  2614,,Isha Home School / Senior School - IHS,2,Any,,,
Science Teacher,"Teach science subjects, including biology, chemistry, and physics, to students at various educational levels. Responsibilities include preparing lesson plans, conducting experiments, and assessing student progress. Requires strong knowledge of scientific concepts, effective communication skills, and a passion for inspiring students to explore and understand the world of science.",Senior School - IHS - Science Teacher -  2616,,Isha Home School / Senior School - IHS,2,Any,,,
Server Engineer,"Manage and maintain servers, ensuring their optimal performance, security, and uptime. Responsibilities include installing, configuring, troubleshooting, and upgrading server hardware and software. Requires expertise in server management, network protocols, and troubleshooting, along with the ability to handle server-related issues efficiently to support business operations.",IT - Infrastructure - Server Engineer - 2776,"Understand existing server architecture, List down all the use cases at a detailed manner, propose the consolidation plan to minimize the servers that need to be mainted by the IT Infra department. Basic understanding of server operating systems (Windows and Linux) and file servers and terraform & Ansible",IT / IT - Infrastructure,1,Any,IT / IT - Others,,
Server Engineer,"Manage and maintain servers, ensuring their optimal performance, security, and uptime. Responsibilities include installing, configuring, troubleshooting, and upgrading server hardware and software. Requires expertise in server management, network protocols, and troubleshooting, along with the ability to handle server-related issues efficiently to support business operations.",IT - Infrastructure - Server Engineer - 2777,"Study the entire infrastructure architecture, come up with a proposal to make it industry standard. In addition the person should be able to interact with other departmetn to collect any user requirements and also act as an interface between user department and infra. Common certifications include:

VMware Certified Professional (VCP)
Cisco Certified Network Associate (CCNA) or Cisco Certified Network Professional (CCNP) in Data Center
Red Hat Certified Engineer (RHCE) or Red Hat Certified Architect (RHCA)
CompTIA Server+ or CompTIA Cloud+",IT / IT - Infrastructure,2,Any,IT / IT - Others,,
Server Engineer,"Manage and maintain servers, ensuring their optimal performance, security, and uptime. Responsibilities include installing, configuring, troubleshooting, and upgrading server hardware and software. Requires expertise in server management, network protocols, and troubleshooting, along with the ability to handle server-related issues efficiently to support business operations.",IT - Infrastructure - Server Engineer - 2798,"1.Active Directory support, tweaking and maintenence
2.Enhancements to existing infrastructure which requires thorough understanding of AD.
3.AD based solutions to better organize and execute the AD environment.
4. Using open source tools like Blazam and developing them further to suit clients requirements.
5. Integrating google sheets to Active directory, using several methods.
6. Integrating Google workspace to Active directory, using several methods.",IT / IT - Infrastructure,1,Any,IT / IT - Others,,
Session Designer,"Design and develop engaging and informative sessions for training, workshops, or educational programs. Responsibilities include creating content, structuring sessions, and incorporating interactive elements to enhance learning experiences. Requires strong communication, creativity, and instructional design skills to ensure the sessions meet the learning objectives and audience needs.",Learning & Development - Session Designer - 2660,"1. Designing training sessions on various soft skills and technical skills.
2. Conducting research and studying material
3. Training the trainers and briefing of the design 
4. Ability to design for various areas and skills.",Learning & Development,2,Any,Education / Curriculum / Instruction Designer,Media and Communication / Soft Skills Trainer,English (US) Tamil
Session Facilitator,"Guide and manage group sessions, ensuring smooth interactions, active participation, and achievement of session goals. Responsibilities include leading discussions, providing support, and fostering an engaging learning environment. Requires strong communication, interpersonal skills, and the ability to manage group dynamics while encouraging collaboration and knowledge sharing.",Electrical - Session Facilitator -   2338,,Electrical,1,Any,,,
Session Facilitator,"Guide and manage group sessions, ensuring smooth interactions, active participation, and achievement of session goals. Responsibilities include leading discussions, providing support, and fostering an engaging learning environment. Requires strong communication, interpersonal skills, and the ability to manage group dynamics while encouraging collaboration and knowledge sharing.",Learning & Development - Session Facilitator - 2662,"1. Conduting sessions on soft skills.
2. Teaching or coaching experience required
3. Ability to visualize and conduct the designs.",Learning & Development,2,Any,Media and Communication / Soft Skills Trainer,Education / Curriculum / Instruction Designer,
Session Facilitator,"Guide and manage group sessions, ensuring smooth interactions, active participation, and achievement of session goals. Responsibilities include leading discussions, providing support, and fostering an engaging learning environment. Requires strong communication, interpersonal skills, and the ability to manage group dynamics while encouraging collaboration and knowledge sharing.",Bangalore Temple - Session Facilitator - 2860,"Trainer- Excellent written and spoken skills in Kannada; computer skills
Experience training rural communities- preferably farmers; hands-on experience in natural/organic farming and preparation of organic input such as jeevamrutham, agniasthram, beejamrutham, etc",Bangalore Temple,1,Any,Media and Communication / Communication Trainer,,
Singers / Instrumentalists / Musicians,"Perform and create music through vocals or instruments, delivering high-quality performances for audiences or recordings. Responsibilities include rehearsing, collaborating with other musicians, and performing at events or in studio settings. Requires musical talent, proficiency in an instrument or voice, and a passion for creating and sharing music.",Isha Samskriti - Singers / Instrumentalists / Musicians - 2356,Able to teach instruments violin. tabla and Mridhamgam. Hindustani music,Isha Samskriti,5,Any,Arts and Crafts / Musician,,
Singers / Instrumentalists / Musicians,"Perform and create music through vocals or instruments, delivering high-quality performances for audiences or recordings. Responsibilities include rehearsing, collaborating with other musicians, and performing at events or in studio settings. Requires musical talent, proficiency in an instrument or voice, and a passion for creating and sharing music.",Isha Home School - Singers / Instrumentalists / Musicians - 2624,"Music Teacher - Western/World Music
""* Expose students, particularly in Junior & Middle School, to a diverse range of Western and World music genres, including classical, jazz, blues, folk, traditional, and contemporary styles from different cultures and regions.
* Teach students how to play a musical instrument(s) commonly used in Western and World music, such as guitar, piano, drums, percussion, strings, brass, woodwinds, or traditional instruments from various cultures.
* Provide basic vocal instruction, including techniques for proper breathing, posture, articulation, and expression, for students interested in singing Western and World music repertoire.
* Instruct students in the fundamental principles of music theory, including notation, rhythm, harmony, melody, and form.
* Foster students' creativity and musical expression through improvisation exercises and opportunities for original composition and arrangement in Western and World music styles.
* Explore the historical, cultural, and social contexts of Western and World music traditions, including significant composers, musicians, styles, movements, and influences from different time periods and regions.
* Cultivate students' appreciation for music by engaging them in active listening, critical thinking, and analytical discussions about musical works from diverse genres and cultural backgrounds.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.",Isha Home School,1,Any,Arts and Crafts / Musician,,
Singers / Instrumentalists / Musicians,"Perform and create music through vocals or instruments, delivering high-quality performances for audiences or recordings. Responsibilities include rehearsing, collaborating with other musicians, and performing at events or in studio settings. Requires musical talent, proficiency in an instrument or voice, and a passion for creating and sharing music.",Isha Home School - Singers / Instrumentalists / Musicians - 2629,"Music Teacher - Hindustani
""* Teach the fundamentals of Hindustani classical music, including swara (notes), raga (melody), tala (rhythm), and compositions.
* Provide instruction on vocal techniques, such as voice modulation, breath control, and articulation.
* Guide students in learning traditional Hindustani compositions like bandish, thumri, khayal, and bhajan.
* Offer lessons on improvisational aspects of Hindustani music, such as taans, sargams, and alaap.
* Provide personalized feedback and correction to students to improve their singing abilities.
* Teach students to accompany themselves on the harmonium.
* Prepare students for music examinations (ICSE or otherwise) and performances, ensuring they are confident and well-prepared.
* Instill an appreciation for the rich cultural heritage and traditions associated with Hindustani music.
* Foster a supportive and encouraging learning environment that motivates students to explore and develop their musical talents.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.",Isha Home School,1,Any,Arts and Crafts / Musician,,
Singers / Instrumentalists / Musicians,"Perform and create music through vocals or instruments, delivering high-quality performances for audiences or recordings. Responsibilities include rehearsing, collaborating with other musicians, and performing at events or in studio settings. Requires musical talent, proficiency in an instrument or voice, and a passion for creating and sharing music.",Sounds of Isha - Singers / Instrumentalists / Musicians - 2750,"Those who are trained and skilled in singing, playing instruments, and drums. Part-time",Sounds of Isha,15,Any,Arts and Crafts / Musician Arts and Crafts / Singer,,
Site Supervisor,"Oversee and manage daily operations on construction or project sites, ensuring safety, quality, and adherence to timelines. Responsibilities include supervising workers, coordinating with contractors, inspecting site conditions, and ensuring compliance with safety regulations. Requires strong leadership, organizational skills, and knowledge of construction practices and regulations.",Plumbing - Site Supervisor - 2256,Supervising at various ashram locations for ongoing plumbing work,Plumbing,1,Male,Construction & Fabrication / Construction Supervisor Engineering / Engineering - Others,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil Hindi / हिंदी Telugu / తెలుగు English (US)
Site Supervisor,"Oversee and manage daily operations on construction or project sites, ensuring safety, quality, and adherence to timelines. Responsibilities include supervising workers, coordinating with contractors, inspecting site conditions, and ensuring compliance with safety regulations. Requires strong leadership, organizational skills, and knowledge of construction practices and regulations.",Electrical - Site Supervisor - 2350,Support in maintenance of electrical equipment across the ashram.,Electrical,1,Male,Engineering / Electrical Engineer General / Electrician Soft Skills / Fit for Physical Seva,,
Site Supervisor,"Oversee and manage daily operations on construction or project sites, ensuring safety, quality, and adherence to timelines. Responsibilities include supervising workers, coordinating with contractors, inspecting site conditions, and ensuring compliance with safety regulations. Requires strong leadership, organizational skills, and knowledge of construction practices and regulations.",Construction - LSP - Site Supervisor - 2461,Construction Site Supervising,Construction - LSP,6,Any,Construction & Fabrication / Construction - Others Construction & Fabrication / Construction Supervisor,,Tamil
Site Supervisor,"Oversee and manage daily operations on construction or project sites, ensuring safety, quality, and adherence to timelines. Responsibilities include supervising workers, coordinating with contractors, inspecting site conditions, and ensuring compliance with safety regulations. Requires strong leadership, organizational skills, and knowledge of construction practices and regulations.",Bangalore Temple - Site Supervisor - 2861,"Field coordinator (senior profile) - Supervision of field implementation of watershed projects; spoken & written Kannada and English language skills; interpersonal skills and community mobilization; govt. liaison; computer skills; preparation of DPR; good to have experience in Livelihoods
About 15 years of hands-on experience in Watershed Development",Bangalore Temple,1,Any,Construction & Fabrication / Construction Supervisor,,
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Isha Leadership Academy - Social media Manager - 2288,"Social Media Admin
Publish approved content in all platforms, 
Reply to queries on all ILA Social Platforms, 
Upload videos on ILA youtube channel, keep ILA youtube playlist updated
Track performance of all the posts.",Sadhguru Academy,1,Any,Emedia / Active on Social Media Soft Skills / Articulate in communication Emedia / Social Media Campaigns,,English (UK)
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Communications - Social media Manager - 2431,"Prior experience or interest in Social Media. Understanding of social media platforms, trends, and analytics.",Rally for Rivers / Cauvery Calling / Communications,1,Any,Emedia / Active on Social Media Media and Communication / Creative Writer,Soft Skills / Articulate in communication Soft Skills / Enthusiastic Emedia / Search Engine Optimization (SEO),English (US) Tamil
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Emedia Operations - Social media Manager - 2471,"Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,1,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,Arabic / الْعَرَبيّة
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Emedia Operations - Social media Manager - 2480,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,1,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,French / Français
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Farmer Producer Organisation (FPO) - Social media Manager - 2495,"Communicating with Emedia team for contect publication, Planning for social media content publication & followup works",Farmer Producer Organisation (FPO),3,Any,Emedia / Active on Social Media,Emedia / Active on Social Media,
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Emedia Operations - Social media Manager - 2523,"Responsibilities:
Prepare and execute the content calendar for assigned social media platforms 
Ensure high quality of content in the posts 
Regular & consistent posting on the platform
Ensure social media target is achieved with a strong action plan 
Track analytics regularly, generate reports to communicate performance
Understand platform tactics/operations and execute
Develop insights on post performance over time
Follow best practices guideline
Coordinate with other teams for creatives and communications",E-Media Panel / Emedia Operations,1,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,Indonesian / Bahasa Indonesia
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Emedia Operations - Social media Manager - 2576,"Isha Foundation

Responsible for developing and implementing social media strategies to increase brand awareness & engage with our target audience. Creative, strategic, and passionate about leveraging social media platforms to achieve Isha Foundation social media objectives. Strong understanding of social media trends, excellent communication skills, and the ability to analyze data to optimize performance.",E-Media Panel / Emedia Operations,1,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Emedia Operations - Social media Manager - 2577,"Conscious Planet

Responsible for developing and implementing social media strategies to increase brand awareness & engage with our target audience. Creative, strategic, and passionate about leveraging social media platforms to achieve Consicous Planet team objectives. Strong understanding of social media trends, excellent communication skills, and the ability to analyze data to optimize performance.",E-Media Panel / Emedia Operations,1,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Emedia Operations - Social media Manager - 2578,"Temples

Responsible for developing and implementing social media strategies to increase brand awareness & engage with our target audience. Creative, strategic, and passionate about leveraging social media platforms to achieve Temples team social media objectives. Strong understanding of social media trends, excellent communication skills, and the ability to analyze data to optimize performance.",E-Media Panel / Emedia Operations,1,Any,Emedia / Active on Social Media Emedia / Influencer Emedia / Social Media Campaigns,,
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",Inner Engineering Online - Social media Manager - 2667,"Prior experience or interest in Social Media. Understanding of social media platforms, trends, and analytics.",Isha Programs and Communications / Inner Engineering Online,1,Any,Emedia / Digital Marketing,Soft Skills / Articulate in communication,English (US)
Social media Manager,"Manage and execute social media strategies to increase brand awareness and engagement. Responsibilities include creating content, scheduling posts, analyzing metrics, and engaging with followers. Requires strong communication skills, creativity, and knowledge of social media platforms and trends to effectively build and maintain an online presence.",ILPL - Marketing - Social media Manager - 2728,Social Media content and reels creator,ILPL - Marketing,2,Any,Media and Communication / Editor Arts and Crafts / Film Cinematographer,,
Spanish Translator,"Translate written or spoken content between Spanish and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Spanish, strong writing and comprehension skills, and a deep understanding of cultural nuances for context-appropriate translations.",Global Languages Publications - Spanish Translator - 2279,"Spanish TranslatorTranslation of text, creatives (text+image) and videos.
Spanish Video EditorVideo editing in DaVinci resolve: stictching audio track to the English video, adding subtitles, supers and slides
Spanish ProofreaderFinal review of the translated text to correct distorions in translation, grammar mistakes and to maintain the consistency of translation style across all translations withing a given language",Global Languages Publications,6,Any,Soft Skills / Articulate in communication,,Spanish (AR) / Español (AR) Spanish (BO) / Español (BO) Spanish (CL) / Español (CL) Spanish (CO) / Español (CO) Spanish (CR) / Español (CR) Spanish (DO) / Español (DO) Spanish (EC) / Español (EC) Spanish (GT) / Español (GT) Spanish (MX) / Español (MX) Spanish / Español Spanish (PA) / Español (PA) Spanish (PE) / Español (PE) Spanish (PY) / Español (PY) Spanish (UY) / Español (UY) Spanish (VE) / Español (VE)
Stay Area Support,"Provide assistance and support to individuals in stay areas, ensuring a comfortable and safe environment. Responsibilities include managing accommodations, addressing concerns, coordinating logistics, and ensuring all facilities meet requirements. Requires strong organizational, communication, and problem-solving skills to handle guest needs and maintain smooth operations.",Sadhanapada - Stay Area Support - 2719,Accommodation - Stay Area Support,Sadhanapada,4,Any,Soft Skills / Enthusiastic,Soft Skills / Articulate in communication Soft Skills / Fit for Physical Seva Soft Skills / Soft-spoken and cordial Soft Skills / Strong Interpersonal skills (Coordinator),
Stay Area Support,"Provide assistance and support to individuals in stay areas, ensuring a comfortable and safe environment. Responsibilities include managing accommodations, addressing concerns, coordinating logistics, and ensuring all facilities meet requirements. Requires strong organizational, communication, and problem-solving skills to handle guest needs and maintain smooth operations.",Bangalore Temple - Stay Area Support - 2830,"Sadhanapada Accommodation

Wake up support",Bangalore Temple,2,Any,Soft Skills / Enthusiastic,,
Structural Engineer,"Design, analyze, and oversee the construction of structural components for buildings, bridges, and other infrastructure projects. Responsibilities include ensuring safety, stability, and compliance with regulations, conducting material tests, and collaborating with architects and contractors. Requires strong knowledge of engineering principles, materials, and structural design software.",Construction - LSP - Structural Engineer - 2456,"Perform ETABS or Staad analysis of RCC or Steel Structural buildings
Must have 2 years of experience
Must know how to use AutoCAD
Advantage if the person knows Inventor or Solidworks",Construction - LSP,2,Any,Engineering / Engineering - Others Engineering / Mechanial Engineer Construction & Fabrication / Structural Engineer,,
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope.",Cottage Accomodation - Supervising Activities - 2267,"Overseeing various tasks done by sevadhars and managing people, assigning responsibilities, providing support",Cottage Accomodation,14,Any,General / Hospitality/ Hotel Manager,,Bengali / বাংলা Tamil English (US)
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope.",Electrical - Supervising Activities - 2301,"Planning and Assigning activities for Bengali Sevadhars.
Supervising Work of Sevadhars.",Electrical,1,Male,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Fit for Physical Seva,Bengali / বাংলা English (US)
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope.",Electrical - Supervising Activities - 2302,"Planning and Assigning activities for Bengali Sevadhars.
Supervising Work of Sevadhars.",Electrical,1,Male,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Fit for Physical Seva,Tamil Hindi / हिंदी English (US)
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope.",Pooja Materials - Supervising Activities - 2779,Supervising Production Shed at Pooja Materials Shed,Pooja Materials,3,Any,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope.",Pooja Materials - Supervising Activities - 2780,Department store Activities,Pooja Materials,3,Any,Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,
Supervising Activities,"Oversee and manage daily activities, ensuring they align with organizational goals and standards. Responsibilities include coordinating tasks, monitoring progress, providing guidance, and ensuring safety and efficiency. Requires strong leadership, problem-solving, and communication skills to ensure activities are completed on time and within scope.",Bangalore Temple - Supervising Activities - 2849,"Electrical - Supervising Activities - ""Planning and Assigning activities for Sevadhars.
Supervising Work of Sevadhars.""",Bangalore Temple,1,Any,Construction & Fabrication / Construction Supervisor,,
Swimming coach,"Train and mentor swimmers of all skill levels, improving technique, endurance, and performance. Responsibilities include developing training plans, providing feedback, and conducting individual or group lessons. Requires deep knowledge of swimming techniques, strong communication skills, and the ability to motivate and guide athletes towards achieving their goals.",Isha Home School - Swimming coach - 2620,"""* Possess good language and interpersonal communication skills
* Ability to systematically demonstrate and teach the four basic swimming styles
* Teach groups of different ages and abilities, ranging from beginners to advanced
* Prepare students for and accompany students to competitions""",Isha Home School,1,Male,Education / Physical education teacher,,
Tabla Teacher,"Teach and promote the art of playing the tabla, including rhythm patterns, techniques, and cultural significance. Responsibilities include preparing lesson plans, conducting classes, and offering individualized feedback. Requires expertise in tabla performance, strong communication skills, and a passion for teaching music and preserving cultural traditions.",Isha Home School - Tabla Teacher - 2628,"Music Teacher - Tabla
""* Teach the fundamental techniques of playing the tabla, including hand positions, strokes, and rhythms.
* Provide instruction on the various bols (syllables) used in tabla playing and their application in different compositions and styles.
* Guide students in learning traditional tabla compositions such as the kaida, rela, gat, and tukra.
* Offer lessons on improvisational aspects of tabla playing, including layakari (rhythmic variations) and tihai (repetitive patterns).
* Teach students to understand and perform different taals (rhythmic cycles) commonly used in Hindustani classical music, such as Teental, Dadra, and Jhaptaal.
* Provide personalized feedback and correction to students to improve their technique, timing, and expression.
* Teach students to accompany other musicians, including vocalists and instrumentalists, in a variety of musical contexts.
* Prepare students for tabla examinations and performances, ensuring they are well-prepared and confident.
* Foster a supportive and encouraging learning environment that inspires students to explore and excel in tabla playing while nurturing their passion for Indian classical music.
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.
""",Isha Home School,1,Any,Arts and Crafts / Tabla player,,
Tamil Teacher,"Teach the Tamil language, including grammar, literature, and cultural context. Responsibilities include preparing lesson plans, conducting classes, and fostering a deep understanding of the language's nuances. Requires fluency in Tamil, strong communication skills, and a passion for teaching and preserving cultural heritage.",Isha Samskriti - Tamil Teacher - 2359,"Able to teach tamil.
Computer basics and able to use Google docs
Content creation in Tamil",Isha Samskriti,5,Any,Education / Tamil Teacher,,
Tamil Teacher,"Teach the Tamil language, including grammar, literature, and cultural context. Responsibilities include preparing lesson plans, conducting classes, and fostering a deep understanding of the language's nuances. Requires fluency in Tamil, strong communication skills, and a passion for teaching and preserving cultural heritage.",Middle School - Tamil Teacher - 2599,"""* Teach students the Tamil language and share information on Tamil culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Middle School,1,Any,Education / Tamil Teacher,,English (UK) Tamil
Tamil Teacher,"Teach the Tamil language, including grammar, literature, and cultural context. Responsibilities include preparing lesson plans, conducting classes, and fostering a deep understanding of the language's nuances. Requires fluency in Tamil, strong communication skills, and a passion for teaching and preserving cultural heritage.",Senior School - IHS - Tamil Teacher - 2768,"""* Teach students the Tamil language and share information on Tamil culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Senior School - IHS,1,Any,Education / Tamil Teacher,,
Tamil Translator,"Translate written or spoken content between Tamil and other languages, ensuring accuracy and cultural relevance. Responsibilities include translating documents, interpreting conversations, and localizing materials. Requires fluency in Tamil, strong writing and comprehension skills, and an understanding of cultural nuances to deliver precise and context-appropriate translations.",Tamil Publications - Tamil Translator - 2342,English to Tamil translator for translating blog articles and also to do dubbing scripts,Tamil Publications,2,Any,Media and Communication / Content Writer,,English (UK) Tamil
