Request Name,Job Title,Job Description,Department,Gender Preference,# of Volunteers,Stage,Skills/Keywords,Add'l Skills,Languages,Work Experience Needed?,Number of Years,Educational Qualification
,,,,,,,IT / ERP Consultant,,,,,
ILPL - Marketing - Photographer - 2723,Photographer,Product photographer & Videographer for Listing and Marketing Campaigns,ILPL - Marketing,Any,2,Approved,Media and Communication / Editor,Media and Communication / Editor,,0,,
,,,,,,,Arts and Crafts / Film Cinematographer,,,,,
,,,,,,,Arts and Crafts / Photographer,,,,,
,,,,,,,Arts and Crafts / Sound Editor,,,,,
,,,,,,,Arts and Crafts / Video Editor,,,,,
ILPL - Marketing - Photo/ Image Editing - 2724,Photo/ Image Editing,Photo/Video Editor for Website and Social Media Campaigns,ILPL - Marketing,Any,2,Approved,Media and Communication / Editor,Media and Communication / Editor,,0,,
,,,,,,,,Arts and Crafts / Photographer,,,,
,,,,,,,,Arts and Crafts / Video Editor,,,,
ILPL - Marketing - Content Writer - 2725,Content Writer,Content Writing for Marketing Campaigns on Website & Social Media,ILPL - Marketing,Any,3,Approved,Media and Communication / Content Writer,Soft Skills / Articulate in communication,,0,,
,,,,,,,Media and Communication / Creative Writer,,,,,
ILPL - Marketing - Content Support - 2726,Content Support,Need Production Support for Content Creation for Marketing Campaigns Content,ILPL - Marketing,Any,1,Approved,IT / Technical Support,Arts and Crafts / Film Producer,,0,,
ILPL - Marketing - E-Commerse - Category Manager - 2727,E-Commerse - Category Manager,"Need separate Category Manager for Natural Foods, Personal Care, Clothing & accessories, and Health & Immunity Categories",ILPL - Marketing,Any,4,Approved,Soft Skills / Enthusiastic,,,0,,
ILPL - Marketing - Social media Manager - 2728,Social media Manager,Social Media content and reels creator,ILPL - Marketing,Any,2,Approved,Media and Communication / Editor,,,0,,
,,,,,,,Arts and Crafts / Film Cinematographer,,,,,
ILPL - Marketing - Data Analyst - 2729,Data Analyst,Need Data Analyst for IshaLife E-commerce Website and Marketing analysis,ILPL - Marketing,Any,1,Approved,IT / Data Analyst,,,0,,
ILPL - Marketing - Fashion Designer - 2730,Fashion Designer,Need Fashion Designer for Product Development in the Clothing Category,ILPL - Marketing,Any,1,Approved,Arts and Crafts / Fashion Designer,,,0,,
ILPL - Marketing - Business Analyst (BA) - 2731,Business Analyst (BA),Need a Business Analyst for growth,ILPL - Marketing,Any,2,Approved,IT / Business Analyst,,,0,,
,,,,,,,Corporate / Financial & Accounting Manager,,,,,
ILPL - Marketing - Product Development - 2732,Product Development,PD Manager - Product Development Coordination activities,ILPL - Marketing,Any,1,Approved,Corporate / Executive - Others,,,0,,
ILPL - Marketing - Visual Merchandiser - 2733,Visual Merchandiser,Need E-Commerce Website Merchandiser,ILPL - Marketing,Any,1,Approved,Corporate / Executive - Others,,,0,,
Sadhanapada - Dining Support - 2734,Dining Support,"Prana Danam - Prana Danam backend team - attendance, materials,calling, prepare schedules for PD core team. They will also support with dining in the evenings",Sadhanapada,Any,3,Approved,Emedia / Active on Social Media,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,Soft Skills / Fit for Physical Seva,,,,,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Enthusiastic,,,,
,,,,,,,,General / Hospitality/ Hotel Manager,,,,
Akshaya - Akshaya Volunteers - 2735,Akshaya Volunteers,To support in multiple areas in Akshaya.,Akshaya,Any,80,Approved,Soft Skills / Fit for Physical Seva,,,0,,
Sadhanapada - Audio calls - Interviews - 2736,Audio calls - Interviews,Indian Applications - To collect or verify detailed information on an audio call. They should be open to talking at length and not be of a shy demeanor.,Sadhanapada,Any,6,Approved,Soft Skills / Articulate in communication,Media and Communication / Communication Trainer,,0,,
,,,,,,,,Soft Skills / Enthusiastic,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
Sadhanapada - Audio calls - Interviews - 2737,Audio calls - Interviews,Indian Applications - Satsang ishanga to attend to practice corrections of applicants on a regular basis,Sadhanapada,Any,2,Approved,Soft Skills / Articulate in communication,,,1,0 ~ 5,
,,,,,,,Soft Skills / Enthusiastic,,,,,
,,,,,,,Soft Skills / Soft-spoken and cordial,,,,,
,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,,
Sadhanapada - Content Writer - 2738,Content Writer,"Indian Applications - To attend to emails on a prompt basis, good hold of english typing, knowledge of email etiquette, proof reading skills, quick in typing as we have to respond to 60-80 emails per day",Sadhanapada,Any,2,Approved,Media and Communication / Content Writer,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Media and Communication / Communication Trainer,,,,
,,,,,,,,Media and Communication / Editor,,,,
Sadhanapada - IT Hardware engineer - 2739,IT Hardware engineer,"Indian Applications - Analytical skills, should be able to brainstorm and come up with solutions involving app sheets and app scripts, coding knowledge is helpful, should be abel to identify bugs in system and able to communicate effectively with the tech team, Since we are dealing with huge number of applications and sadhaka processes, the bugs and issues are a constant part of the activities.",Sadhanapada,Any,1,Approved,Engineering / Computer Science Engineer,IT / Data Analyst,,1,0 ~ 5,
,,,,,,,,IT / IT - Others,,,,
,,,,,,,,IT / Python Developer,,,,
Sadhanapada - Administrative Activities (Back Office) - 2740,Administrative Activities (Back Office),"Overseas Applications - Managing and processing the Emails
- Managing Data
- Schedule the interview calls
- Managing Sadhaka
- Creating SOPs",Sadhanapada,Any,3,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Data Entry skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
Sadhanapada - Video calls - Interviews - 2741,Video calls - Interviews,"Overseas Applications
- Taking Interviews through Video call and in-person
- Putting the required information into system""",Sadhanapada,Any,10,Approved,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Data Entry skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
Video Publications - Editors with Animation skills - 2742,Editors with Animation skills,Video Editor,Video Publications,Any,2,Approved,Arts and Crafts / Digital Animator,,,1,0 ~ 5,Bachelor - Other
,,,,,,,Arts and Crafts / Video Editor,,,,,
IPC - Tamil Nadu - Administrative Activities (Back Office) - 2743,Administrative Activities (Back Office),"- Making followup calls to Schools and colleges. - Higher program enrolments, follow ups with the local potential volunteers. - 
Followup with regional schedulers for Influencer's, 
Scheduling Meeting, taking notes, and action follow ups. - 
Support in planning & organizing the sadhana day",Isha Programs and Communications / IPC - Tamil Nadu,Any,11,Approved,Basic Computer Skills / Data Entry skills,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
IPC - Tamil Nadu - Administrative Activities (Back Office) - 2744,Administrative Activities (Back Office),IECO Participants Care (Registration support & 7 session completion reminder giving etc),Isha Programs and Communications / IPC - Tamil Nadu,Any,1,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
IPC - Tamil Nadu - Administrative Activities (Back Office) - 2745,Administrative Activities (Back Office),"Getting the schedule from program coord, managing data, creating reports for analysis",Isha Programs and Communications / IPC - Tamil Nadu,Any,2,Approved,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
IPC - Tamil Nadu - Administrative Activities (Back Office) - 2746,Administrative Activities (Back Office),"1. Fixing and Participating in calls and taking meeting notes 
2. Following up on the action items with the verticals coord through calls 
3. Data consolidation vertical wise and region wise for monthly status report 
4. Organizing support for in person meetings. 
5. This volunteer can also support MSR back office activities - calls and follow ups.",Isha Programs and Communications / IPC - Tamil Nadu,Any,1,Approved,Basic Computer Skills / Data Entry skills,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
IPC - Tamil Nadu - Administrative Activities (Back Office) - 2747,Administrative Activities (Back Office),"- Creating Registration Forms for regional requirements - Coordinating with the IT team for registration form implementation - Coordinate with the TN region verticals for collating the requirements - Coordinate with the Emedia team for the Content, etc.",Isha Programs and Communications / IPC - Tamil Nadu,Any,2,Approved,IT / Data Analyst,Soft Skills / Articulate in communication,,0,,
,,,,,,,IT / IT - Others,,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
Sounds of Isha - Music Producer / Arranger - 2748,Music Producer / Arranger,"To produce Music in Logic/ Other Music Softwares. Skilled in Producing, recording, editing and mixing songs. Not someone who knows to play a guitar or to sing. 

This is a critical resource for us so request to be considerate with the other seva options. Its perfectly ok to go to attend programs but would be good if other seva options can be limited.",Sounds of Isha,Any,2,Approved,Arts and Crafts / Musician,,,0,,
Sounds of Isha - Mixing Engineer - 2749,Mixing Engineer,Audio mixing for songs and BGM's. Only for well experienced and skilled people who have mixed studio songs.,Sounds of Isha,Any,1,Approved,Arts and Crafts / Musician,,,1,0 ~ 5,
Sounds of Isha - Singers / Instrumentalists / Musicians - 2750,Singers / Instrumentalists / Musicians,"Those who are trained and skilled in singing, playing instruments, and drums. Part-time",Sounds of Isha,Any,15,Approved,Arts and Crafts / Musician,,,1,0 ~ 5,
,,,,,,,Arts and Crafts / Singer,,,,,
IPC - Tamil Nadu - Live Streaming Support - 2751,Live Streaming Support,"Regularly, programs, events, and webinars are streamed from the Ashram for TNK regions. - Booking Halls - Facilitating Materials & Equipment requirements for Online Webinars\Programs. - Live Stream Production Setup and Streaming Support - Creating Technical Setup documents and training contents",Isha Programs and Communications / IPC - Tamil Nadu,Any,1,Approved,IT / IT - Others,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
IPC - Tamil Nadu - Administrative Activities (Back Office) - 2752,Administrative Activities (Back Office),Free Yoga - Enquiries handling & converting as registration for IE/Hathayoga/Free Yoga,Isha Programs and Communications / IPC - Tamil Nadu,Any,1,Approved,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
IPC - Tamil Nadu - Coordinating Activities - 2753,Coordinating Activities,1 person - Handling enquiries for Ashram higher level programs & Ashram Volunteering & assisting for registration,Isha Programs and Communications / IPC - Tamil Nadu,Any,1,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
IPC - Tamil Nadu - Coordinating Activities - 2754,Coordinating Activities,"Social media posts (image/video), Santosha coordination support for regional coord.",Isha Programs and Communications / IPC - Tamil Nadu,Any,1,Approved,Soft Skills / Strong Interpersonal skills (Coordinator),Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
IPC - Tamil Nadu - Content Manager - 2755,Content Manager,Coordinating with content creators and team.,Isha Programs and Communications / IPC - Tamil Nadu,Male,1,Approved,Media and Communication / Creative Writer,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
IPC - Tamil Nadu - Project Manager - 2756,Project Manager,Project management skill,Isha Programs and Communications / IPC - Tamil Nadu,Male,1,Approved,Corporate / Marketing & Branding Executive,Media and Communication / Creative Writer,,1,0 ~ 5,
,,,,,,,,Emedia / Digital Marketing,,,,
IPC - Tamil Nadu - Video Editor - 2757,Video Editor,Editing Videos and produce final output,Isha Programs and Communications / IPC - Tamil Nadu,Male,1,Approved,Arts and Crafts / Video Editor,Arts and Crafts / Digital Animator,,1,0 ~ 5,
,,,,,,,,Arts and Crafts / Film Cinematographer,,,,
,,,,,,,,Arts and Crafts / Illustrator,,,,
,,,,,,,,Arts and Crafts / Sound Editor,,,,
IPC - Tamil Nadu - Graphic Designer - 2758,Graphic Designer,Graphic design and editing,Isha Programs and Communications / IPC - Tamil Nadu,Male,1,Approved,Arts and Crafts / Graphic Designer,Arts and Crafts / Digital Animator,,1,0 ~ 5,
,,,,,,,,Arts and Crafts / Illustrator,,,,
,,,,,,,,Arts and Crafts / Photographer,,,,
,,,,,,,,Media and Communication / Script Writer,,,,
IPC - Tamil Nadu - Coordinating Activities - 2759,Coordinating Activities,"1. Fixing and Participating in calls and taking meeting notes 
2. Following up on the action items with the verticals coord through calls 
3. Making Phone Calls to Nurturning Coordinators & Volunteers. 
4. Data consolidation vertical wise and region wise for monthly status report 
5. Organizing support for in person meetings. 
6. This volunteer can also support Event backoffice activities - calls and follow ups.",Isha Programs and Communications / IPC - Tamil Nadu,Any,3,Approved,Basic Computer Skills / Data Entry skills,Soft Skills / Articulate in communication,,1,0 ~ 5,
,,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
,,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,
IPC - Tamil Nadu - Guiding Visitors - 2760,Guiding Visitors,"Enrolling visitors for sessions. Conducting session. Data entry in google forms.
 2 Male + 2 Female - Sadhana Hall
5 Male + 5 Female - New halls in front of Adiyogi / sadhana hall

meeting guests, support in temple visit on individual level / in a group. encourage to take up IE programs - Temple area / sadhana hall",Isha Programs and Communications / IPC - Tamil Nadu,Any,14,Approved,Soft Skills / Articulate in communication,Soft Skills / Fit for Physical Seva,,0,,
,,,,,,,Basic Computer Skills / Data Entry skills,,,,,
,,,,,,,,Soft Skills / Soft-spoken and cordial,,,,
Land Maintenance - Farming support - 2761,Farming support,Maa Chandrahasa's Farm - Farm Assistant,Land Maintenance,Male,15,Approved,Soft Skills / Fit for Physical Seva,,,0,,
IT - Applications - UI Designer - 2762,UI Designer,"UI, UX, Figma, Sketch, Adobe",IT / IT - Applications,Any,2,Approved,IT / UI Designer (Angular/ HTML/CSS),,,0,,
Farmer Producer Organisation (FPO) - Data Scientist - 2763,Data Scientist,Have to archive the various data of depts in ARR which are available from 2003,Farmer Producer Organisation (FPO),Any,6,Approved,IT / Data Analyst,,English (US),1,0 ~ 5,
Isha Home School - Administrative Activities (Back Office) - 2764,Administrative Activities (Back Office),"HP Coordinator
""* Manage recruitment logistics (Ex: job postings promotion to pre-screening, interview scheduling, etc.)
* Participate in interview process
* Coordinate the onboarding of new team members
* Collate and build onboarding and training modules for all new teachers and staff
* Manage rotational observation schedules for new teachers
* Research legally mandated training and create presentations and training materials
* Track progress of new teachers and provide support as needed
* Conduct teacher development workshops and events
* Assist with employee policy development
* Organize engagement activities and events for team members
* Manage HP related communication of relevant news, memos, etc.
* Help with compliance reporting and performance appraisals
* Coordinate with HP, VCD and OCO on HP related communications""",Isha Home School,Any,1,Approved,Office Assistant / Admin Assistant,,,1,0 ~ 5,Bachelor - Other
Isha Home School - Maintenance Activities - 2765,Maintenance Activities,"Campus Manager - Facilites
""* Survey the whole school to identify areas which need maintenance
* Work with Ashram maintenance team to schedule and prioritize requests
* Draw a schedule for regular maintenance of each area of the school""",Isha Home School,Any,1,Approved,Corporate / Manager - Others,,,0,,
Isha Home School - History teacher - 2767,History teacher,"Senior School - Humanities Teacher (Secondary / Classes 8, 9 & 10)
""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Foster critical thinking, analytical skills, and civic engagement by encouraging students to analyze primary and secondary sources, evaluate evidence, and formulate well-reasoned arguments and opinions.
* Provide students with a broad understanding of historical events, political systems, economic principles, and their interconnectedness within local, national, and global contexts.
* Create a supportive and inclusive classroom environment that promotes respect for diverse perspectives, encourages open dialogue, and cultivates empathy and understanding for different cultures, societies, and viewpoints.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as historical documents, political speeches, economic data, and online databases, to enhance instruction, engage students, and facilitate inquiry-based learning.
* Assess student learning and progress through a variety of formative and summative assessments, including essays, projects, presentations, quizzes, tests, and discussions.
* Provide timely and constructive feedback to students to help them improve their writing, critical thinking, and analytical skills
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School,Any,1,Approved,Education / History Teacher,,,0,,Bachelor of Education (B.Ed.)
Senior School - IHS - Tamil Teacher - 2768,Tamil Teacher,"""* Teach students the Tamil language and share information on Tamil culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Senior School - IHS,Any,1,Approved,Education / Tamil Teacher,,,1,0 ~ 5,Bachelor of Arts (B.A.)
Isha Home School - Dance Teacher - 2770,Dance Teacher,"Bharatnatyam Teacher
* Instruct students in the foundational techniques of Bharatanatyam, including adavus (basic steps), mudras (hand gestures), bhavas (expressions), and abhinaya (mime).
* Create and teach choreography for traditional Bharatanatyam repertoire, including varnams, padams, javalis, and tillanas, in various talas (rhythmic cycles) and ragas (melodic scales).
* Coach students in stage presence, facial expressions, body alignment, and dynamic presentation to enhance their performance skills and storytelling abilities.
* Conduct exercises and drills to improve students' strength, flexibility, coordination, and stamina, essential for executing Bharatanatyam movements with precision and grace.
* Educate students about the historical, cultural, and philosophical context of Bharatanatyam, including its origins, mythology, symbolism, and significance within Indian classical dance traditions.
* Nurture students' creativity and artistic expression by providing opportunities for improvisation, interpretation, and choreographic experimentation within the framework of Bharatanatyam.
* Prepare students for dance performances, arangetrams and examinations (ICSE or otherwise).
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.",Isha Home School,Any,1,Approved,Arts and Crafts / Dancer,,,0,,
Isha Home School - Library Support - 2771,Library Support,"* Administer and manage the library's circulation system, including issuing library cards, checking materials in and out, and maintaining accurate records.
* Assist in implementing library programs and activities",Isha Home School,Any,1,Approved,Office Assistant / Admin Assistant,,,0,,
Legal - Contracts Lawyer - 2772,Contracts Lawyer,To create agreements between Isha and vendors/ donors etc.,Legal,Male,2,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (UK),1,6 ~ 10,Bachelor of Law (B.L. / LLB)
,,,,,,,General / Lawyer,,,,,
,,,,,,,,,Tamil,,,
IT - Infrastructure - Network Engineer - 2773,Network Engineer,"Provide Level 1 and Level 2 support for network-related incidents and service requests, including but not limited to connectivity issues, VLAN configurations, firewall rules, and VPN connectivity. Proven experience in network administration and support roles, with a focus on troubleshooting and resolving L1/L2 network issues.

Strong understanding of networking concepts, protocols, and technologies, including TCP/IP, DNS, DHCP, VLANs, routing, and switching.

Relevant certifications such as CompTIA Network+, Cisco CCNA, or equivalent are a plus.",IT / IT - Infrastructure,Any,1,Approved,IT / IT - Others,IT / Developer,,1,0 ~ 5,Diploma
,,,,,,,IT / Technical Support,,,,,
IT - Infrastructure - Network Engineer - 2774,Network Engineer,"Wireless Network Design and Architecture, WiFi Surveying and Site Assessment, wifi Implementation and Deployment, wifi Performance Optimization, Troubleshooting and Issue Resolution 

Professional certifications such as CCNA Wireless, CWNA, CWDP, CWAP, CCNP Wireless, Aruba Certified Mobility Professional (ACMP), or equivalent.",IT / IT - Infrastructure,Any,1,Approved,IT / IT - Others,IT / Cloud Architect,,1,0 ~ 5,Bachelor - Other
IT - Infrastructure - Network Engineer - 2775,Network Engineer,"Strong background in network infrastructure, with expertise in routing and switching, firewall administration, and hands-on experience with Network Operations Center (NOC), Security Operations Center (SOC), and Network Access Control (NAC) systems.
Certifications such as CCNP, CCIE, or equivalent are preferred.",IT / IT - Infrastructure,Any,1,Approved,IT / IT - Others,IT / Artificial Intelligence/ Machine Learning,,1,0 ~ 5,Bachelor of Engineering (B.E.)
,,,,,,,,IT / IT Project Manager,,,,
IT - Infrastructure - Server Engineer - 2776,Server Engineer,"Understand existing server architecture, List down all the use cases at a detailed manner, propose the consolidation plan to minimize the servers that need to be mainted by the IT Infra department. Basic understanding of server operating systems (Windows and Linux) and file servers and terraform & Ansible",IT / IT - Infrastructure,Any,1,Approved,IT / IT - Others,,,1,6 ~ 10,Bachelor - Other
IT - Infrastructure - Server Engineer - 2777,Server Engineer,"Study the entire infrastructure architecture, come up with a proposal to make it industry standard. In addition the person should be able to interact with other departmetn to collect any user requirements and also act as an interface between user department and infra. Common certifications include:

VMware Certified Professional (VCP)
Cisco Certified Network Associate (CCNA) or Cisco Certified Network Professional (CCNP) in Data Center
Red Hat Certified Engineer (RHCE) or Red Hat Certified Architect (RHCA)
CompTIA Server+ or CompTIA Cloud+",IT / IT - Infrastructure,Any,2,Approved,IT / IT - Others,,,1,10+,Bachelor - Other
Pooja Materials - Sales Manager/ Executive - 2778,Sales Manager/ Executive,"Need to MAN the sales counter of Temple Stalls , in Sarpavasal",Pooja Materials,Male,3,Approved,Corporate / Sales Manager,,,0,,Undergraduate
Pooja Materials - Supervising Activities - 2779,Supervising Activities,Supervising Production Shed at Pooja Materials Shed,Pooja Materials,Any,3,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Tamil,0,,Undergraduate
Pooja Materials - Supervising Activities - 2780,Supervising Activities,Department store Activities,Pooja Materials,Any,3,Approved,Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,0,,Undergraduate
Sadhanapada - Data Scientist - 2781,Data Scientist,"SP Tech - Worked on Machine Learning Projects
Someone with Statistics or Maths background in addition to Machine Learning will be an added advantage",Sadhanapada,Any,3,Approved,IT / Artificial Intelligence/ Machine Learning,,,1,0 ~ 5,
,,,,,,,IT / Python Developer,,,,,
Sadhanapada - Data Scientist - 2782,Data Scientist,"SP Tech - Data Science Project Manager
He will be coordinating & managing multiple Data Science Projects. He should have some experience in handling Data Science , ML projects independently.
He will be guiding the junior data science ppts in the team & suggesting ML solutions to business problems.
Will be doing project feasibility analysis as well",Sadhanapada,Any,1,Approved,Soft Skills / Articulate in communication,,,1,6 ~ 10,
,,,,,,,IT / Artificial Intelligence/ Machine Learning,,,,,
,,,,,,,IT / Data Analyst,,,,,
,,,,,,,IT / Python Developer,,,,,
,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,,
Sadhanapada - Developer - 2783,Developer,"SP Tech - To create automation projects for different Sadhanapada sub-teams.
Python developer is preferred",Sadhanapada,Any,3,Approved,IT / Developer,,,1,0 ~ 5,Bachelor of Technology (B.Tech)
,,,,,,,IT / Python Developer,,,,,
Sadhanapada - Project Manager - 2784,Project Manager,"SP Tech - This person will be managing a team of 3-4 developers 7 will be managing atleast 3 parallel projects at a time
He will also need to coordinate with our SP sub teams to understand requirements.
He should have IT project management experience & experence of handling multiple projects",Sadhanapada,Any,1,Approved,IT / IT Project Manager,,,1,,
,,,,,,,Soft Skills / Soft-spoken and cordial,,,,,
,,,,,,,Soft Skills / Strong Interpersonal skills (Coordinator),,,,,
Sadhanapada - Artificial Intelligence (AI) Enthusiast - 2785,Artificial Intelligence (AI) Enthusiast,He will be doing research on different tools & different use cases for our sub-teams to see where AI products can help solve our problems,Sadhanapada,Any,1,Approved,IT / Artificial Intelligence/ Machine Learning,,,0,,
Sadhanapada - Data Analyst - 2786,Data Analyst,"Preparing reports, data analysis for our sub-teams.
Should have some experience with querying databases & any Data Visualization tool like Tableau, Power BI etc",Sadhanapada,Any,1,Approved,Soft Skills / Articulate in communication,,,1,0 ~ 5,
,,,,,,,IT / Data Analyst,,,,,
Sadhanapada - Ashram Support - 2787,Ashram Support,Ashram Support volunteers,Sadhanapada,Any,100,Approved,Soft Skills / Fit for Physical Seva,,,0,,
Legal - Litigation Lawyer - 2789,Litigation Lawyer,Each person should have minimum 5-6 years experience,Legal,Any,2,Approved,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,English (UK),1,6 ~ 10,Bachelor of Law (B.L. / LLB)
,,,,,,,General / Lawyer,,,,,
,,,,,,,,,Tamil,,,
Legal - Company Secretary - 2790,Company Secretary,Company Secretary with compliance experience,Legal,Any,1,Approved,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK),1,6 ~ 10,Bachelor of Law (B.L. / LLB)
,,,,,,,,,Tamil,,,
Legal - Compliance Lawyer - 2791,Compliance Lawyer,Each person should have minimum 5-6 years experience,Legal,Any,1,Approved,General / Lawyer,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK),1,6 ~ 10,Bachelor of Law (B.L. / LLB)
,,,,,,,,,Tamil,,,
Legal - Project Manager - 2792,Project Manager,"Each person should have minimum 5-6 years experience.
Project Manager for IPR vertical",Legal,Any,1,Approved,IT / IT Project Manager,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,English (UK),1,6 ~ 10,Bachelor of Business Administration (B.B.A.)
,,,,,,,,IT / Project Manager,,,,
Legal - Administrative Activities (Back Office) - 2793,Administrative Activities (Back Office),Should have good communication skills and willingness to work beyond normal hours if needed. Should have coordination skills to coordinate with various departments and be a team player.,Legal,Any,2,Approved,Office Assistant / Admin Assistant,,Tamil,1,0 ~ 5,Undergraduate
,,,,,,,Soft Skills / Articulate in communication,,,,,
,,,,,,,,,English (UK),,,
,,,,,,,,,Hindi / हिंदी,,,
Security - Access Control - 2794,Access Control,ashram security management,Security,Any,3,Approved,Office Assistant / Admin Assistant,,Tamil,1,0 ~ 5,Bachelor - Other
,,,,,,,Others / Army,,,,,
,,,,,,,Soft Skills / Articulate in communication,,,,,
,,,,,,,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,,,,,
,,,,,,,Others / CRPF/ BSF,,,,,
,,,,,,,IT / Cloud Architect,,,,,
,,,,,,,IT / Cyber Security Analyst,,,,,
,,,,,,,IT / IT - Others,,,,,
,,,,,,,Others / Navy,,,,,
,,,,,,,,,English (US),,,
,,,,,,,,,Hindi / हिंदी,,,
