Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
IPC - Tamil Nadu - Coordinating Activities - 2754,Coordinating Activities,"Social media posts (image/video), Santosha coordination support for regional coord.",Isha Programs and Communications / IPC - Tamil Nadu,NA,Soft Skills / Strong Interpersonal skills (Coordinator),"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial"
IPC - Tamil Nadu - Content Manager - 2755,Content Manager,Coordinating with content creators and team.,Isha Programs and Communications / IPC - Tamil Nadu,NA,Media and Communication / Creative Writer,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial"
IPC - Tamil Nadu - Project Manager - 2756,Project Manager,Project management skill,Isha Programs and Communications / IPC - Tamil Nadu,NA,Corporate / Marketing & Branding Executive,"Media and Communication / Creative Writer,Emedia / Digital Marketing"
IPC - Tamil Nadu - Video Editor - 2757,Video Editor,Editing Videos and produce final output,Isha Programs and Communications / IPC - Tamil Nadu,NA,Arts and Crafts / Video Editor,"Arts and Crafts / Digital Animator,Arts and Crafts / Film Cinematographer,Arts and Crafts / Illustrator,Arts and Crafts / Sound Editor"
IPC - Tamil Nadu - Graphic Designer - 2758,Graphic Designer,Graphic design and editing,Isha Programs and Communications / IPC - Tamil Nadu,NA,Arts and Crafts / Graphic Designer,"Arts and Crafts / Digital Animator,Arts and Crafts / Illustrator,Arts and Crafts / Photographer,Media and Communication / Script Writer"
IPC - Tamil Nadu - Coordinating Activities - 2759,Coordinating Activities,"1. Fixing and Participating in calls and taking meeting notes 
2. Following up on the action items with the verticals coord through calls 
3. Making Phone Calls to Nurturning Coordinators & Volunteers. 
4. Data consolidation vertical wise and region wise for monthly status report 
5. Organizing support for in person meetings. 
6. This volunteer can also support Event backoffice activities - calls and follow ups.",Isha Programs and Communications / IPC - Tamil Nadu,NA,Basic Computer Skills / Data Entry skills,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial,Soft Skills / Strong Interpersonal skills (Coordinator)"
IPC - Tamil Nadu - Guiding Visitors - 2760,Guiding Visitors,"Enrolling visitors for sessions. Conducting session. Data entry in google forms.
 2 Male + 2 Female - Sadhana Hall
5 Male + 5 Female - New halls in front of Adiyogi / sadhana hall

meeting guests, support in temple visit on individual level / in a group. encourage to take up IE programs - Temple area / sadhana hall",Isha Programs and Communications / IPC - Tamil Nadu,NA,"Soft Skills / Articulate in communication,Basic Computer Skills / Data Entry skills","Soft Skills / Fit for Physical Seva,Soft Skills / Soft-spoken and cordial"
Land Maintenance - Farming support - 2761,Farming support,Maa Chandrahasa's Farm - Farm Assistant,Land Maintenance,NA,Soft Skills / Fit for Physical Seva,NA
IT - Applications - UI Designer - 2762,UI Designer,"UI, UX, Figma, Sketch, Adobe",IT / IT - Applications,NA,IT / UI Designer (Angular/ HTML/CSS),NA
Farmer Producer Organisation (FPO) - Data Scientist - 2763,Data Scientist,Have to archive the various data of depts in ARR which are available from 2003,Farmer Producer Organisation (FPO),English (US),IT / Data Analyst,NA
Isha Home School - Administrative Activities (Back Office) - 2764,Administrative Activities (Back Office),"HP Coordinator
""* Manage recruitment logistics (Ex: job postings promotion to pre-screening, interview scheduling, etc.)
* Participate in interview process
* Coordinate the onboarding of new team members
* Collate and build onboarding and training modules for all new teachers and staff
* Manage rotational observation schedules for new teachers
* Research legally mandated training and create presentations and training materials
* Track progress of new teachers and provide support as needed
* Conduct teacher development workshops and events
* Assist with employee policy development
* Organize engagement activities and events for team members
* Manage HP related communication of relevant news, memos, etc.
* Help with compliance reporting and performance appraisals
* Coordinate with HP, VCD and OCO on HP related communications""",Isha Home School,NA,Office Assistant / Admin Assistant,NA
Isha Home School - Maintenance Activities - 2765,Maintenance Activities,"Campus Manager - Facilites
""* Survey the whole school to identify areas which need maintenance
* Work with Ashram maintenance team to schedule and prioritize requests
* Draw a schedule for regular maintenance of each area of the school""",Isha Home School,NA,Corporate / Manager - Others,NA
Isha Home School - History teacher - 2767,History teacher,"Senior School - Humanities Teacher (Secondary / Classes 8, 9 & 10)
""* Plan lessons and develop curricula aligned to the prescribed syllabus
* Foster critical thinking, analytical skills, and civic engagement by encouraging students to analyze primary and secondary sources, evaluate evidence, and formulate well-reasoned arguments and opinions.
* Provide students with a broad understanding of historical events, political systems, economic principles, and their interconnectedness within local, national, and global contexts.
* Create a supportive and inclusive classroom environment that promotes respect for diverse perspectives, encourages open dialogue, and cultivates empathy and understanding for different cultures, societies, and viewpoints.
* Differentiate instruction to accommodate the diverse learning needs, interests, and abilities of students, including those with special needs
* Utilize technology and digital resources, such as historical documents, political speeches, economic data, and online databases, to enhance instruction, engage students, and facilitate inquiry-based learning.
* Assess student learning and progress through a variety of formative and summative assessments, including essays, projects, presentations, quizzes, tests, and discussions.
* Provide timely and constructive feedback to students to help them improve their writing, critical thinking, and analytical skills
* Maintain accurate, thorough, and diversified records of student progress
* Participate in team meetings, workshops, and other learning opportunities
* Perform miscellaneous job-related duties as assigned",Isha Home School,NA,Education / History Teacher,NA
Senior School - IHS - Tamil Teacher - 2768,Tamil Teacher,"""* Teach students the Tamil language and share information on Tamil culture.
* Instill a sense of appreciation for poetry and literature in students.
* Organise the classroom and learning resources and create displays to encourage a positive learning environment
* Plan, prepare and present lessons that cater for the needs of the whole ability range within the class
* Maintain discipline
* Prepare and assess student work, providing specific feedback for further development
* Create a nurturing and safe environment for students of this age group, keeping in mind their social/ emotional make up and needs
* Maintain records of student progress, and fill out tracking sheets and report cards
* Share observations and provide feedback to class teachers and coordinators on student progress
* Collaborate with other teachers to plan and coordinate work
* Organise and take part in school events, outings and miscellaneous activities as needed",Isha Home School / Senior School - IHS,NA,Education / Tamil Teacher,NA
Isha Home School - Dance Teacher - 2770,Dance Teacher,"Bharatnatyam Teacher
* Instruct students in the foundational techniques of Bharatanatyam, including adavus (basic steps), mudras (hand gestures), bhavas (expressions), and abhinaya (mime).
* Create and teach choreography for traditional Bharatanatyam repertoire, including varnams, padams, javalis, and tillanas, in various talas (rhythmic cycles) and ragas (melodic scales).
* Coach students in stage presence, facial expressions, body alignment, and dynamic presentation to enhance their performance skills and storytelling abilities.
* Conduct exercises and drills to improve students' strength, flexibility, coordination, and stamina, essential for executing Bharatanatyam movements with precision and grace.
* Educate students about the historical, cultural, and philosophical context of Bharatanatyam, including its origins, mythology, symbolism, and significance within Indian classical dance traditions.
* Nurture students' creativity and artistic expression by providing opportunities for improvisation, interpretation, and choreographic experimentation within the framework of Bharatanatyam.
* Prepare students for dance performances, arangetrams and examinations (ICSE or otherwise).
* Collaborate with other music teachers and staff to perform at various school functions, including cultural events, assemblies, and celebrations. 
* Attend faculty meetings, departmental meetings, and other school-related gatherings as required.
* Adhere to the school's policies regarding work leave, especially in relation to school events; communicate effectively with school administration and colleagues regarding planned absences, ensuring that necessary arrangements are made to cover teaching responsibilities during these periods.",Isha Home School,NA,Arts and Crafts / Dancer,NA
Isha Home School - Library Support - 2771,Library Support,"* Administer and manage the library's circulation system, including issuing library cards, checking materials in and out, and maintaining accurate records.
* Assist in implementing library programs and activities",Isha Home School,NA,Office Assistant / Admin Assistant,NA
Legal - Contracts Lawyer - 2772,Contracts Lawyer,To create agreements between Isha and vendors/ donors etc.,Legal,"English (UK),Tamil","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,General / Lawyer",NA
IT - Infrastructure - Network Engineer - 2773,Network Engineer,"Provide Level 1 and Level 2 support for network-related incidents and service requests, including but not limited to connectivity issues, VLAN configurations, firewall rules, and VPN connectivity. Proven experience in network administration and support roles, with a focus on troubleshooting and resolving L1/L2 network issues.

Strong understanding of networking concepts, protocols, and technologies, including TCP/IP, DNS, DHCP, VLANs, routing, and switching.

Relevant certifications such as CompTIA Network+, Cisco CCNA, or equivalent are a plus.",IT / IT - Infrastructure,NA,"IT / IT - Others,IT / Technical Support",IT / Developer
IT - Infrastructure - Network Engineer - 2774,Network Engineer,"Wireless Network Design and Architecture, WiFi Surveying and Site Assessment, wifi Implementation and Deployment, wifi Performance Optimization, Troubleshooting and Issue Resolution 

Professional certifications such as CCNA Wireless, CWNA, CWDP, CWAP, CCNP Wireless, Aruba Certified Mobility Professional (ACMP), or equivalent.",IT / IT - Infrastructure,NA,IT / IT - Others,IT / Cloud Architect
IT - Infrastructure - Network Engineer - 2775,Network Engineer,"Strong background in network infrastructure, with expertise in routing and switching, firewall administration, and hands-on experience with Network Operations Center (NOC), Security Operations Center (SOC), and Network Access Control (NAC) systems.
Certifications such as CCNP, CCIE, or equivalent are preferred.",IT / IT - Infrastructure,NA,IT / IT - Others,"IT / Artificial Intelligence/ Machine Learning,IT / IT Project Manager"
IT - Infrastructure - Server Engineer - 2776,Server Engineer,"Understand existing server architecture, List down all the use cases at a detailed manner, propose the consolidation plan to minimize the servers that need to be mainted by the IT Infra department. Basic understanding of server operating systems (Windows and Linux) and file servers and terraform & Ansible",IT / IT - Infrastructure,NA,IT / IT - Others,NA
IT - Infrastructure - Server Engineer - 2777,Server Engineer,"Study the entire infrastructure architecture, come up with a proposal to make it industry standard. In addition the person should be able to interact with other departmetn to collect any user requirements and also act as an interface between user department and infra. Common certifications include:

VMware Certified Professional (VCP)
Cisco Certified Network Associate (CCNA) or Cisco Certified Network Professional (CCNP) in Data Center
Red Hat Certified Engineer (RHCE) or Red Hat Certified Architect (RHCA)
CompTIA Server+ or CompTIA Cloud+",IT / IT - Infrastructure,NA,IT / IT - Others,NA
Pooja Materials - Sales Manager/ Executive - 2778,Sales Manager/ Executive,"Need to MAN the sales counter of Temple Stalls , in Sarpavasal",Pooja Materials,NA,Corporate / Sales Manager,NA
Pooja Materials - Supervising Activities - 2779,Supervising Activities,Supervising Production Shed at Pooja Materials Shed,Pooja Materials,Tamil,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Pooja Materials - Supervising Activities - 2780,Supervising Activities,Department store Activities,Pooja Materials,NA,Accounting / Basic Accountancy,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Sadhanapada - Data Scientist - 2781,Data Scientist,"SP Tech - Worked on Machine Learning Projects
Someone with Statistics or Maths background in addition to Machine Learning will be an added advantage",Sadhanapada,NA,"IT / Artificial Intelligence/ Machine Learning,IT / Python Developer",NA
Sadhanapada - Data Scientist - 2782,Data Scientist,"SP Tech - Data Science Project Manager
He will be coordinating & managing multiple Data Science Projects. He should have some experience in handling Data Science , ML projects independently.
He will be guiding the junior data science ppts in the team & suggesting ML solutions to business problems.
Will be doing project feasibility analysis as well",Sadhanapada,NA,"Soft Skills / Articulate in communication,IT / Artificial Intelligence/ Machine Learning,IT / Data Analyst,IT / Python Developer,Soft Skills / Strong Interpersonal skills (Coordinator)",NA
Sadhanapada - Developer - 2783,Developer,"SP Tech - To create automation projects for different Sadhanapada sub-teams.
Python developer is preferred",Sadhanapada,NA,"IT / Developer,IT / Python Developer",NA
Sadhanapada - Project Manager - 2784,Project Manager,"SP Tech - This person will be managing a team of 3-4 developers 7 will be managing atleast 3 parallel projects at a time
He will also need to coordinate with our SP sub teams to understand requirements.
He should have IT project management experience & experence of handling multiple projects",Sadhanapada,NA,"IT / IT Project Manager,Soft Skills / Soft-spoken and cordial,Soft Skills / Strong Interpersonal skills (Coordinator)",NA
Sadhanapada - Artificial Intelligence (AI) Enthusiast - 2785,Artificial Intelligence (AI) Enthusiast,He will be doing research on different tools & different use cases for our sub-teams to see where AI products can help solve our problems,Sadhanapada,NA,IT / Artificial Intelligence/ Machine Learning,NA
Sadhanapada - Data Analyst - 2786,Data Analyst,"Preparing reports, data analysis for our sub-teams.
Should have some experience with querying databases & any Data Visualization tool like Tableau, Power BI etc",Sadhanapada,NA,"Soft Skills / Articulate in communication,IT / Data Analyst",NA
Sadhanapada - Ashram Support - 2787,Ashram Support,Ashram Support volunteers,Sadhanapada,NA,Soft Skills / Fit for Physical Seva,NA
Legal - Litigation Lawyer - 2789,Litigation Lawyer,Each person should have minimum 5-6 years experience,Legal,"English (UK),Tamil","Basic Computer Skills / Basic Computer (MS Office and Email) Skills,General / Lawyer",NA
Legal - Company Secretary - 2790,Company Secretary,Company Secretary with compliance experience,Legal,"English (UK),Tamil",Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Legal - Compliance Lawyer - 2791,Compliance Lawyer,Each person should have minimum 5-6 years experience,Legal,"English (UK),Tamil",General / Lawyer,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Legal - Project Manager - 2792,Project Manager,"Each person should have minimum 5-6 years experience.
Project Manager for IPR vertical",Legal,English (UK),IT / IT Project Manager,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,IT / Project Manager"
Legal - Administrative Activities (Back Office) - 2793,Administrative Activities (Back Office),Should have good communication skills and willingness to work beyond normal hours if needed. Should have coordination skills to coordinate with various departments and be a team player.,Legal,"Tamil,English (UK),Hindi / हिंदी","Office Assistant / Admin Assistant,Soft Skills / Articulate in communication",NA
Security - Access Control - 2794,Access Control,ashram security management,Security,"Tamil,English (US),Hindi / हिंदी,Albanian / Shqip","Office Assistant / Admin Assistant,Others / Army,Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Others / CRPF/ BSF,IT / Cloud Architect,IT / Cyber Security Analyst,IT / IT - Others,Others / Navy",NA
Security - On ground Support - 2795,On ground Support,security,Security,FALSE,"Others / Army,Others / Navy,Others / Police",NA
Security - Administrative Activities (Back Office) - 2796,Administrative Activities (Back Office),security back-office work,Security,"English (US),Tamil",Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
IT - Infrastructure - Developer - 2797,Developer,"Need a developer for ongoing projects like,
""1. Jira based or portal based delegation of some tasks to departments.
2. Sadhanapada Asset distribution portal maintenance issues.
3. IT Infra Website updates and maintenance.
4. SSO for the our website.
5. AD to GWS sync.
6. Late night access automation.
7. Many other integrations like asset discovery etc to Google workspace, automation.
8. API Integration with ITSM ticketing tool (Jira) to communicate end users using Whatsapp.
9. Industrial knowledge on Testing IT applications. Different types of use case testing.

Mainly -- Jira automation, Google workspace automation, Website development using Odoo, AWS, Integration of tools using Rest APIs, Parsing techniques. Should have development experience and should be able to learn and code in multiple languages as needed.",IT / IT - Infrastructure,NA,IT / IT / Developer,IT / Artificial Intelligence/ Machine Learning
IT - Infrastructure - Server Engineer - 2798,Server Engineer,"1.Active Directory support, tweaking and maintenence
2.Enhancements to existing infrastructure which requires thorough understanding of AD.
3.AD based solutions to better organize and execute the AD environment.
4. Using open source tools like Blazam and developing them further to suit clients requirements.
5. Integrating google sheets to Active directory, using several methods.
6. Integrating Google workspace to Active directory, using several methods.",IT / IT - Infrastructure,NA,IT / IT - Others,NA
IT - Infrastructure - Devops Engineer - 2799,Devops Engineer,"Experience on IAM tools like Sailpoint, Savyint, Octa, Oracle Identity, IBM ISIM. On borading differerent applications into IAM . Lifecycle management of users and their acess. Knowlege on Active Directory(AD) and ticketing tools like JIRA, Service Now, Zendesk, Fresh desh etc is an added advantage.",IT / IT - Infrastructure,NA,IT / IT - Others,NA
IT - Infrastructure - Artificial Intelligence (AI) Enthusiast - 2800,Artificial Intelligence (AI) Enthusiast,"Coding experience on Powershell, bash and Python scripting. Creating and scheduling batch files. Knowledge on Active Directory (AD), Servers, Networking and Identity Access Management (IAM).",IT / IT - Infrastructure,NA,IT / Artificial Intelligence/ Machine Learning,IT / Developer
IT - Infrastructure - IT Hardware engineer - 2801,IT Hardware engineer,"*Able to handle Hardware & Software issues of Desktops / Laptops. 
*Able to handle MAC is also welcome
*People with HW or relevant certification in Desktop support & repair will be good.",IT / IT - Infrastructure,NA,IT / IT - Others,NA
IT - Infrastructure - Data Analyst - 2802,Data Analyst,"Able to understand the existing ticket system and apply themselves to check, analysis & audit the IT HD call & ticketing data. 
*Excellent spoken & written skills in english language.
*Ability to document the SOPs across all verticals. 
*People with ITIL or relevant certification will be good.
*Ability to generate BI reports and build custom reports to analyze productivity.",IT / IT - Infrastructure,NA,IT / Business Analyst,IT / IT Project Manager
Construction - LSP - Accountant - 2803,Accountant,"Background in finance, verification of accounts and bills",Construction - LSP,NA,Accounting / Basic Accountancy,NA
Bangalore Temple - Data Analyst - 2804,Data Analyst,"Process, Quality & Analytics -",Bangalore Temple,NA,IT / Data Analyst,NA
Bangalore Temple - Coordinating Activities - 2805,Coordinating Activities,Kshetra Sankalpa - Program/ project Coordinator,Bangalore Temple,English (UK),Soft Skills / Articulate in communication,NA
Bangalore Temple - Promotions - 2807,Promotions,Promotion - Promotions coordinator,Bangalore Temple,NA,Emedia / Digital Marketing,NA
Bangalore Temple - Visual Merchandiser - 2808,Visual Merchandiser,Promotion - Visual Merchandiser,Bangalore Temple,NA,Soft Skills / Articulate in communication,NA
Bangalore Temple - Project Manager - 2809,Project Manager,"Promotion - Project Coordinator- Social Media
Good knowledge of online and social media trends, developments and opportunities",Bangalore Temple,NA,Emedia / Social Media Campaigns,NA
Bangalore Temple - Content Creator - 2810,Content Creator,Promotion - Content Developer - Content development for campaign (online and offline),Bangalore Temple,NA,Media and Communication / Content Writer,NA
Bangalore Temple - Finance & Accounting Executive - 2811,Finance & Accounting Executive,Revenue generation - Revenue Growth/ Operations,Bangalore Temple,NA,Corporate / Financial & Accounting Executive,NA
Bangalore Temple - Maintenance Support - 2812,Maintenance Support,Accommodation - Housekeeping,Bangalore Temple,NA,Soft Skills / Articulate in communication,NA
Bangalore Temple - Asset and Inventory management - 2813,Asset and Inventory management,Amenities - Purchase and Inventory Coordinator,Bangalore Temple,NA,General / Inventory,NA
Bangalore Temple - Creative Director - 2814,Creative Director,Promotions - Creating promo videos,Bangalore Temple,NA,Arts and Crafts / Film Director,NA
Bangalore Temple - Video Editor - 2815,Video Editor,Promotions - Editing videos,Bangalore Temple,NA,Arts and Crafts / Video Editor,NA
Bangalore Temple - Guiding Visitors - 2817,Guiding Visitors,"Information Center - Co-ordinator day to day activities 

Attending the queries in reception counter, Guiding people

Good communication skill, handling various kind of situations",Bangalore Temple,"Kannada,English (US),Hindi / हिंदी",Soft Skills / Soft-spoken and cordial,NA
Bangalore Temple - Coordinating Activities - 2818,Coordinating Activities,"Admin - Co-ordinating with overall activities 

following up with multiple activities and willingness",Bangalore Temple,"Kannada,Tamil,English (US)",Soft Skills / Strong Interpersonal skills (Coordinator),NA
Bangalore Temple - Maintenance Activities - 2819,Maintenance Activities,"Maintanance - Monitoring Maintenance activities
Organizing Store, Purchase & stock
Waste management monitoring 

Good with excel
Operating PC
Good Communication",Bangalore Temple,"Bengali / বাংলা,Hindi / हिंदी,English (US)",Soft Skills / Strong Interpersonal skills (Coordinator),NA
Bangalore Temple - Administrative Activities (Back Office) - 2820,Administrative Activities (Back Office),"HP - Completing Joining formalities
Documentation Verification
Uploading Documents

Good with excel
Operating PC
Good Communication",Bangalore Temple,"Kannada,Telugu / తెలుగు,English (US)",Soft Skills / Strong Interpersonal skills (Coordinator),NA
Bangalore Temple - Farming support - 2821,Farming support,"Garden - Goshala team Adhoc activities

Willingness",Bangalore Temple,NA,Soft Skills / Fit for Physical Seva,NA
Bangalore Temple - Maintenance Activities - 2822,Maintenance Activities,"Plumbing - ""Organizing Store
Stock Maintenance""

""Good with excel
Operating PC
Good Communication""",Bangalore Temple,"Kannada,Telugu / తెలుగు,English (US)",Soft Skills / Articulate in communication,NA
Bangalore Temple - Farming support - 2823,Farming support,"Goshala - ""Watering Plants
Preparing Fertilizer
Spraying Pesticides""

Willingness",Bangalore Temple,NA,Soft Skills / Fit for Physical Seva,NA
Bangalore Temple - Finance & Accounting Executive - 2824,Finance & Accounting Executive,"Admin - CSR. Fund Raising

Experience in Fund Raising, good connections with corporates, Knows CSR process/ documentation, Excellent writing and communication skills",Bangalore Temple,"English (UK),Kannada,Hindi / हिंदी",Corporate / Financial & Accounting Executive,NA
Bangalore Temple - Administrative Activities (Back Office) - 2825,Administrative Activities (Back Office),"Admin - Interacting with govt Schools/ school children, organizing events, general administrative support

Enthusuiastic, commited, able to follow instruction, school teaching experience a plus",Bangalore Temple,"English (US),Kannada",Office Assistant / Admin Assistant,NA
Bangalore Temple - Front Office Activities - 2826,Front Office Activities,"Admin - Attend to Donation Counter

Enthusiastic, has the necessary integrity, well groomed",Bangalore Temple,"English (US),Kannada,Telugu / తెలుగు,Tamil,Malayalam,Hindi / हिंदी",Soft Skills / Soft-spoken and cordial,NA
Bangalore Temple - Asset and Inventory management - 2827,Asset and Inventory management,"Purchases_BLR - 

Supporting in bringing the materials from the vendor place, can converse with the vendor in a humble manner so good rapport can be developed between vendor & ishaGood communication, Enthusiastic in field work

Purchase store handling -receiving of purchased materials, sorting & issuing to the user department

Should have handled stores, but it is not compulsory

To support in purchases on behalf of our SSB departments by handling new product / variant creation, obtaining purpose code, support in timely raising of PRs

Good communication, computer & software/app handling",Bangalore Temple,"English (US),Kannada",General / Inventory,NA
Bangalore Temple - Accountant - 2828,Accountant,"Admin_BLR - Support in processing bills & vouchers, handling queries of inter departments including finance, vendor registration, Fixed Asset 

Good communication, MS office (esp. Excel)

Should have worked in accounts, handled bills, basic knowledge about GST",Bangalore Temple,NA,Accounting / Basic Accountancy,NA
Bangalore Temple - Maintenance Activities - 2829,Maintenance Activities,"Sadhanapada Program - Hall setup, attendance, etc",Bangalore Temple,NA,Soft Skills / Enthusiastic,NA
Bangalore Temple - Stay Area Support - 2830,Stay Area Support,"Sadhanapada Accommodation

Wake up support",Bangalore Temple,NA,Soft Skills / Enthusiastic,NA
Bangalore Temple - Administrative Activities (Back Office) - 2831,Administrative Activities (Back Office),"VRO - Welcome point

front office/ backend calling",Bangalore Temple,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Ashram Administration - Ashram Tour Guide - 2832,Ashram Tour Guide,"Enhancement of guest experience.

 ORIENTATION to be conducted in batches and GUIDED TOUR of cottage guests regularly

QUALITIES
Good communication,Coordination ,Enthusiastic,
Engaging..
Communicative. ...
Outgoing. ...
Funny. ...
Decisive. ...
Organised. ...
Punctual.",Ashram Administration,"English (UK),Tamil,Hindi / हिंदी",Soft Skills / Articulate in communication,Soft Skills / Strong Interpersonal skills (Coordinator)
Ashram Administration - Coordinating Activities - 2833,Coordinating Activities,"AV Setup- setting up audio for bhiksha hall morning and night,video playing in LED in front of bhiksha hall,
setting up space for Aumkar meditation in sadhana hall every afternoon.

Hospitality - constant support in enhancing experience of guests and ashramites by being a support system for tour guides,mediators between guests and admin leads by gathering feedback from guests and improving , focused on maintaining conducive ashram ambience.",Ashram Administration,English (UK),General / Hospitality/ Hotel Manager,NA
Ashram Administration - Library Support - 2834,Library Support,"Punctuality, critical thinking, time management, interpersonal skills, strong communication skills, customer service and organisational skills.",Ashram Administration,"English (UK),Tamil",Soft Skills / Articulate in communication,NA
Kshetra - Customer Support Representatives - 2835,Customer Support Representatives,"1. Briefing about Kshetra projects over the phone, email and in-person 
2. Listing customers' concerns and questions, then answering in a professional manner
3. Converting the enquirer into the Kshetra applicant
4. Conducting first level interview with standard questionnaire and gauging their interest level in Kshetragna 
5. Follow up and hand hold until the Registration and Payment completion - verifying basic details needed for registration and payment
6. If there is an issue in booking system or payment gateway which is repeatedly reported by one or more caller, resolving it with the help of concerned stakeholders in Isha",Kshetra,"English (UK),Hindi / हिंदी,Tamil","Soft Skills / Articulate in communication,Soft Skills / Enthusiastic,Soft Skills / Soft-spoken and cordial",NA
Kshetra - Administrative Activities (Back Office) - 2836,Administrative Activities (Back Office),"1. Call applicants and support with arranging for interview dates and times
2. Ensure support from when their interview is fixed till the interview is complete i.e answer any questions they have, support in walking them through cottage booking process, ensure welcome point is aware of their arrival, meet them at arrival, ensure wrist band collection
3. Ensure set up for video and interview
4. Answer any queries they may have after the interview",Kshetra,"English (UK),Hindi / हिंदी,Tamil","Office Assistant / Admin Assistant,Soft Skills / Articulate in communication",NA
Ashram Administration - Safety Professionals - 2837,Safety Professionals,"Roles and responsibilities of the safety personnel: 

· Preparation of safety plan and ensuring implementation of the same across the ashram and work sites.

 - Preparing and imparting training to all personnel on various OH&S related topics such as hazardous chemical Safety, PPE etc.
- Daily inspection of work sites to identify unsafe work patterns and hazards. And follow up on safety measures on identified hazards.
- Conduct safety induction and job orientation for new employees and sevadaars.
- Scheduling and conducting regular safety meetings for job supervisors and engineers. Ensure that job supervision teams attend the meetings.
- Ensuring job supervisors conduct daily tool box meeting with all personnel on attendance.
- Provide appropriate topics for meetings and initiate follow up on HSE concerns addressed during these meetings.
- Conducting incident investigation and preparing the safety recommendation reports and follow up on the same compliance.
- Conducting risk assessment of critical activities. Follow up, monitor and ensure implementation of mitigation measures on the identified risks.
- Responding and undertaking duties in accordance with evacuation plan and site emergency preparedness.
- Organising safety campaigns and other safety promotional activities to enhance awareness on safety issues and inculcate safe work culture at the workplace.
- Identifying the statutory requirements and local safety regulations and ensuring the same implementation.
- Conducting monthly inspection of all fire extinguishers and emergency equipment provided across the ashram work sites.
- Conducting regular inspection of heavy equipment such as cranes, Scaffolding platforms and man-lift etc.
- Preparing safe work practices and other documentation relates to safety and maintaining the same records.",Ashram Administration,"English (UK),Bengali / বাংলা,Tamil",Engineering / Engineering - Others,NA
Ashram Administration - Access Control - 2838,Access Control,"Supporting for access tag issuing, store, Preparing study reports and recommendations - tag / visitors' pass system, infra, security verification, pedestrian and vehicles access, Preparing IT requirements",Ashram Administration,English (UK),"Office Assistant / Admin Assistant,IT / IT - Others",NA
Ashram Administration - Data Scientist - 2839,Data Scientist,"Mainly for all Government ID activities for ashramites and enhancing voting response.

Skill set

Mandatory: Exceptional Computer skill especially with Google sheets, and JIRA requests.
Communication and Problem-solving skills are other qualities we are looking for.",Ashram Administration,"English (UK),Hindi / हिंदी,Tamil",IT / Data Analyst,NA
Ashram Administration - Administrative Activities (Back Office) - 2840,Administrative Activities (Back Office),"Incident Management System Support ( IMS)
Back end. Taking meeting minutes, arranging meetings, follow up with the stakeholders, escalate issues to panel, regular monitoring of the implementation of the said process",Ashram Administration,"English (UK),Tamil",Office Assistant / Admin Assistant,NA
Ashram Administration - Business Analyst (BA) - 2841,Business Analyst (BA),"KURTA Shop Management for upcoming Sadhanapadas,LTV AND General Voluteers and material Purchase and storage manager of admin related materials

Skill set :
Operational Management and Efficiency
Customer Experience Leadership
Inventory Management and Analytics
Effective Communication and Relationship Building
Expert in budgeting",Ashram Administration,"English (UK),Tamil,Hindi / हिंदी",Corporate / Financial & Accounting Manager,Soft Skills / Enthusiastic
Ashram Administration - On ground Support - 2842,On ground Support,Events and Ashram programs,Ashram Administration,NA,Soft Skills / Fit for Physical Seva,NA
Ashram Administration - Art Teacher - 2843,Art Teacher,"Taking care of Decorative , Aesthetic and creative part of events at ashram

Qualities
Exceptional skill at crafting
Creativity
Painting
Cultural competence",Ashram Administration,English (UK),Arts and Crafts / Actor,Education / Arts and Crafts Teacher
Residents Coordination Department - Administrative Activities (Back Office) - 2844,Administrative Activities (Back Office),"Nature of our activity involves sensitive information. We need someone with more maturity, willing and aspiring for Poornanga.",Residents Coordination Department,NA,Soft Skills / Soft-spoken and cordial,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Enthusiastic"
Isha Design - Asset and Inventory management - 2845,Asset and Inventory management,Temple Production - The Volunteer would take care of a Store & support with Sadhguru Sannidhi maintainance of the Ashram.,Isha Design,NA,General / Inventory,"Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Basic Computer Skills / Data Entry skills"
